principal interest years  payment total_payment
   150000        7    30  997.954        359263
   150000      7.1    30  1008.05        362897
   150000      7.2    30  1018.18        366546
   150000      7.3    30  1028.36        370208
   150000      7.4    30  1038.57        373885
   150000      7.5    30  1048.82        377576
   150000      7.6    30  1059.11        381280
   150000      7.7    30  1069.44        384998
   150000      7.8    30  1079.81        388730
   150000      7.9    30  1090.21        392475
   150000        8    30  1100.65        396233
   160000        7    30  1064.48        383214
   160000      7.1    30  1075.25        387090
   160000      7.2    30  1086.06        390982
   160000      7.3    30  1096.91        394889
   160000      7.4    30  1107.81        398811
   160000      7.5    30  1118.74        402748
   160000      7.6    30  1129.72        406699
   160000      7.7    30  1140.74        410665
   160000      7.8    30  1151.79        414645
   160000      7.9    30  1162.89        418640
   160000        8    30  1174.02        422648
   170000        7    30  1131.01        407165
   170000      7.1    30  1142.45        411284
   170000      7.2    30  1153.94        415418
   170000      7.3    30  1165.47        419569
   170000      7.4    30  1177.05        423736
   170000      7.5    30  1188.66        427919
   170000      7.6    30  1200.33        432118
   170000      7.7    30  1212.03        436332
   170000      7.8    30  1223.78        440561
   170000      7.9    30  1235.57        444805
   170000        8    30   1247.4        449064
   180000        7    30  1197.54        431116
   180000      7.1    30  1209.66        435477
   180000      7.2    30  1221.82        439855
   180000      7.3    30  1234.03        444250
   180000      7.4    30  1246.28        448662
   180000      7.5    30  1258.59        453091
   180000      7.6    30  1270.93        457536
   180000      7.7    30  1283.33        461998
   180000      7.8    30  1295.77        466476
   180000      7.9    30  1308.25        470970
   180000        8    30  1320.78        475479
   190000        7    30  1264.07        455067
   190000      7.1    30  1276.86        459670
   190000      7.2    30   1289.7        464291
   190000      7.3    30  1302.58        468931
   190000      7.4    30  1315.52        473588
   190000      7.5    30  1328.51        478263

principal interest years  payment total_payment
   190000      7.6    30  1341.54        482955
   190000      7.7    30  1354.62        487665
   190000      7.8    30  1367.75        492391
   190000      7.9    30  1380.93        497135
   190000        8    30  1394.15        501895
   200000        7    30   1330.6        479018
   200000      7.1    30  1344.06        483863
   200000      7.2    30  1357.58        488728
   200000      7.3    30  1371.14        493611
   200000      7.4    30  1384.76        498513
   200000      7.5    30  1398.43        503434
   200000      7.6    30  1412.15        508374
   200000      7.7    30  1425.92        513331
   200000      7.8    30  1439.74        518307
   200000      7.9    30  1453.61        523300
   200000        8    30  1467.53        528310
