Date,Open,High,Low,Close,Volume,Adj Close
2010-06-07,15.73,15.75,15.37,15.41,73078500,15.41
2010-06-04,16.08,16.08,15.56,15.71,114420100,15.71
2010-06-03,16.41,16.48,16.23,16.45,51837000,16.45
2010-06-02,16.16,16.39,15.95,16.35,62848900,16.35
2010-06-01,16.24,16.51,15.93,15.98,73128000,15.98
2010-05-28,16.66,16.69,16.16,16.35,70383300,16.35
2010-05-27,16.42,16.68,16.14,16.66,70118300,16.66
2010-05-26,16.35,16.49,15.97,16.01,83279500,16.01
2010-05-25,15.50,15.97,15.25,15.95,122232900,15.95
2010-05-24,16.32,16.39,15.97,16.01,74129700,16.01
2010-05-21,15.70,16.43,15.65,16.42,146375300,16.42
2010-05-20,16.81,16.83,16.25,16.26,154436300,16.26
2010-05-19,17.07,17.38,16.75,17.26,134943000,17.26
2010-05-18,17.72,17.87,17.05,17.23,79492500,17.23
2010-05-17,17.61,17.72,17.09,17.56,78754500,17.56
2010-05-14,17.97,18.04,17.41,17.64,83715700,17.64
2010-05-13,18.41,18.43,17.96,18.05,64312600,18.05
2010-05-12,18.09,18.50,18.07,18.44,67907500,18.44
2010-05-11,17.85,18.34,17.82,18.00,83503800,18.00
2010-05-10,18.04,18.37,17.88,18.04,138171300,18.04
2010-05-07,17.51,17.69,16.52,16.88,165465900,16.88
2010-05-06,18.00,18.15,15.15,17.31,182122800,17.31
2010-05-05,18.22,18.49,17.93,18.10,106999600,18.10
2010-05-04,19.06,19.07,18.35,18.58,94123700,18.58
2010-05-03,18.97,19.34,18.96,19.26,60157700,19.26
2010-04-30,19.46,19.70,18.79,18.86,112133100,18.86
2010-04-29,19.04,19.49,19.03,19.49,70066400,19.49
2010-04-28,18.67,19.09,18.65,18.95,85006400,18.95
2010-04-27,19.24,19.49,18.59,18.70,109629100,18.70
2010-04-26,19.19,19.37,19.10,19.30,65712900,19.30
2010-04-23,18.86,19.10,18.80,19.07,57777500,19.07
2010-04-22,18.91,19.01,18.61,18.95,73044600,18.95
2010-04-21,19.10,19.18,18.89,19.03,58407000,19.03
2010-04-20,19.04,19.20,18.98,19.00,57666500,19.00
2010-04-19,18.64,18.97,18.64,18.94,78156200,18.94
2010-04-16,19.44,19.45,18.65,18.97,172374900,18.97
2010-04-15,19.45,19.69,19.37,19.50,103121900,19.50
2010-04-14,19.21,19.40,19.01,19.35,81959000,19.35
2010-04-13,18.75,19.13,18.72,18.95,92585100,18.95
2010-04-12,18.56,18.98,18.54,18.71,71700500,18.71
2010-04-09,18.59,18.67,18.40,18.52,54612700,18.52
2010-04-08,18.39,18.65,18.25,18.56,60592900,18.56
2010-04-07,18.57,18.75,18.39,18.50,60464200,18.50
2010-04-06,18.45,18.65,18.41,18.60,54106500,18.60
2010-04-05,18.42,18.65,18.33,18.53,55879400,18.53
2010-04-01,18.27,18.40,18.18,18.33,45478000,18.33
2010-03-31,18.21,18.36,18.13,18.20,59216500,18.20
2010-03-30,18.47,18.48,18.25,18.30,53168700,18.30
2010-03-29,18.52,18.56,18.25,18.40,83916800,18.40
2010-03-26,18.32,18.63,18.18,18.34,84380500,18.34
2010-03-25,18.71,18.76,18.26,18.30,97668400,18.30
2010-03-24,18.36,18.94,18.27,18.45,124241100,18.45
2010-03-23,18.16,18.45,18.15,18.33,107580100,18.33
2010-03-22,17.86,18.13,17.80,18.07,64940700,18.07
2010-03-19,18.32,18.34,17.93,18.07,114772300,18.07
2010-03-18,18.09,18.26,17.91,18.19,88515400,18.19
2010-03-17,18.32,18.40,17.97,18.04,160499800,18.04
2010-03-16,17.49,18.16,17.45,18.07,228571100,18.07
2010-03-15,17.02,17.35,16.94,17.29,117951100,17.29
2010-03-12,16.59,17.06,16.50,17.04,112875400,17.04
2010-03-11,16.49,16.55,16.32,16.48,64905500,16.48
2010-03-10,16.49,16.61,16.42,16.51,67843400,16.51
2010-03-09,16.30,16.62,16.25,16.49,83685600,16.49
2010-03-08,16.37,16.47,16.24,16.27,53676900,16.27
2010-03-05,16.19,16.37,16.15,16.35,65183900,16.35
2010-03-04,16.07,16.16,15.97,16.11,47132200,16.11
2010-03-03,15.98,16.29,15.95,16.03,83817400,16.03
2010-03-02,15.92,15.95,15.83,15.90,52587600,15.90
2010-03-01,16.10,16.15,15.83,15.90,62798300,15.90
2010-02-26,16.00,16.15,15.95,16.06,60564400,16.06
