Date,Open,High,Low,Close,Volume,Adj Close
2010-06-07,25.82,25.83,25.24,25.29,80402100,25.29
2010-06-04,26.10,26.57,25.62,25.79,89832200,25.79
2010-06-03,26.55,26.93,26.41,26.86,67837000,26.86
2010-06-02,26.06,26.48,25.73,26.46,65718800,26.46
2010-06-01,25.53,26.31,25.52,25.89,76152400,25.89
2010-05-28,25.84,26.12,25.66,25.80,67496900,25.80
2010-05-27,25.73,26.36,25.73,26.00,136433600,26.00
2010-05-26,26.23,26.61,24.56,25.01,176684100,25.01
2010-05-25,25.65,26.33,25.38,26.07,98373600,26.07
2010-05-24,26.85,26.86,26.26,26.27,73711700,26.27
2010-05-21,26.63,27.11,26.44,26.84,117596300,26.84
2010-05-20,27.65,27.84,27.04,27.11,87991100,27.11
2010-05-19,28.52,28.69,27.79,28.24,61746700,28.24
2010-05-18,28.87,29.00,28.40,28.60,52690600,28.60
2010-05-17,29.12,29.23,28.45,28.94,46053300,28.81
2010-05-14,29.20,29.21,28.64,28.93,63334000,28.80
2010-05-13,29.26,29.73,29.18,29.24,45188800,29.11
2010-05-12,28.98,29.58,28.92,29.44,47146800,29.31
2010-05-11,28.68,29.65,28.57,28.88,63789400,28.75
2010-05-10,29.01,29.48,28.71,28.94,86653300,28.81
2010-05-07,28.93,28.95,27.32,28.21,173718100,28.08
2010-05-06,29.59,29.88,27.91,28.98,128613000,28.85
2010-05-05,29.77,30.09,29.69,29.85,66833800,29.72
2010-05-04,30.52,30.55,29.75,30.13,82085600,29.99
2010-05-03,30.67,31.06,30.58,30.86,43989500,30.72
2010-04-30,31.07,31.08,30.52,30.54,63214800,30.40
2010-04-29,30.93,31.43,30.67,31.00,52665200,30.86
2010-04-28,30.92,31.00,30.62,30.91,64557900,30.77
2010-04-27,30.95,31.25,30.75,30.85,68730900,30.71
2010-04-26,31.00,31.28,30.86,31.11,63649300,30.97
2010-04-23,31.12,31.58,30.65,30.96,126766600,30.82
2010-04-22,31.04,31.53,30.90,31.39,84847600,31.25
2010-04-21,31.33,31.50,31.23,31.33,55343100,31.19
2010-04-20,31.22,31.44,31.13,31.36,52199500,31.22
2010-04-19,30.77,31.25,30.76,31.04,64970300,30.90
2010-04-16,30.79,30.98,30.60,30.67,88703100,30.53
2010-04-15,30.82,30.95,30.71,30.87,52745400,30.73
2010-04-14,30.79,31.00,30.66,30.82,68941200,30.68
2010-04-13,30.15,30.50,30.13,30.45,41374600,30.31
2010-04-12,30.25,30.49,30.21,30.32,37068800,30.18
2010-04-09,29.95,30.41,29.90,30.34,54752500,30.20
2010-04-08,29.32,29.98,29.30,29.92,63713800,29.79
2010-04-07,29.16,29.56,29.14,29.35,58318800,29.22
2010-04-06,29.15,29.58,28.98,29.32,47366800,29.19
2010-04-05,29.13,29.43,29.03,29.27,34331200,29.14
2010-04-01,29.35,29.54,28.62,29.16,74768100,29.03
2010-03-31,29.64,29.72,29.17,29.29,63760000,29.16
2010-03-30,29.63,29.86,29.50,29.77,34954800,29.64
2010-03-29,29.71,29.82,29.55,29.59,33336000,29.46
2010-03-26,30.09,30.20,29.59,29.66,55595500,29.53
2010-03-25,29.83,30.57,29.80,30.01,73168700,29.88
2010-03-24,29.72,29.85,29.60,29.65,33987700,29.52
2010-03-23,29.59,29.90,29.41,29.88,42026600,29.75
2010-03-22,29.50,29.70,29.39,29.60,37718200,29.47
2010-03-19,29.76,29.90,29.35,29.59,81332100,29.46
