Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,117.375,118.625,112.00,116.5625,53228400,40.658991
2000-01-04,113.5625,117.125,112.25,112.625,54119000,39.285524
2000-01-05,111.125,116.375,109.375,113.8125,64059600,39.699744
2000-01-06,112.1875,113.875,108.375,110.00,54976600,38.369879
2000-01-07,108.625,112.25,107.3125,111.4375,62013600,38.871303
2000-01-10,113.4375,113.6875,111.375,112.25,44963600,39.154717
2000-01-11,111.50,114.25,108.6875,109.375,46743600,38.151868
2000-01-12,108.50,108.875,104.4375,105.8125,66532400,36.909207
2000-01-13,104.375,108.625,101.50,107.8125,83144000,37.606841
2000-01-14,107.1875,113.9375,105.75,112.25,73416400,39.154717
2000-01-18,111.8125,116.50,111.75,115.3125,81483600,40.22297
2000-01-19,110.50,111.50,106.00,107.00,97568200,37.323428
2000-01-20,107.0625,109.6875,105.875,106.00,56349800,36.974611
2000-01-21,107.00,107.25,103.25,103.75,68416200,36.189772
2000-01-24,103.796883,105.6875,100.8125,101.25,63597600,35.317729
2000-01-25,101.00,103.875,99.5625,102.8125,59823200,35.862756
2000-01-26,102.4375,103.50,99.125,99.375,49365000,34.663697
2000-01-27,99.890617,101.1875,97.25,98.75,63654800,34.445687
2000-01-28,98.125,100.25,97.25,98.25,58225400,34.271278
2000-01-31,97.625,98.1875,94.875,97.875,73194200,34.140472
2000-02-01,98.50,103.25,97.6875,102.9375,70196600,35.906358
2000-02-02,102.4375,103.9375,100.50,100.8125,49915600,35.165122
2000-02-03,102.0625,104.1875,100.125,103.625,49186000,36.14617
2000-02-04,104.375,108.00,104.140617,106.5625,55365400,37.17082
2000-02-07,106.8125,106.875,104.25,106.625,40005800,37.192621
2000-02-08,106.4375,110.00,106.4375,109.9375,56229000,38.348078
2000-02-09,109.4375,109.4375,103.875,104.00,55090000,36.276976
2000-02-10,103.890617,106.5625,102.50,106.00,54527800,36.974611
2000-02-11,104.875,104.875,99.125,99.9375,115559000,34.859907
2000-02-14,101.234383,101.75,99.0625,99.625,81028600,34.750902
2000-02-15,99.75,100.00,98.125,98.5625,71027600,34.380283
2000-02-16,99.25,100.1875,97.125,97.625,65202600,34.053267
2000-02-17,98.50,99.6875,97.140617,99.625,80343400,34.750902
2000-02-18,100.00,100.0625,94.875,95.0625,79063000,33.159424
2000-02-22,95.125,97.125,92.8125,93.8125,66296200,32.723402
2000-02-23,93.50,95.75,92.0625,94.25,75847200,32.87601
2000-02-24,94.25,95.875,92.00,94.75,69733200,33.050418
2000-02-25,94.6875,94.703117,90.50,91.3125,65301400,31.85136
2000-02-28,90.25,92.125,88.125,91.5625,76131800,31.938564
2000-02-29,91.75,91.75,88.875,89.375,58437400,31.175527
2000-03-01,89.625,94.093758,88.9375,90.8125,106889800,31.676951
2000-03-02,91.8125,95.375,91.125,93.375,106932600,32.570795
2000-03-03,94.75,98.875,93.875,96.125,101435200,33.530042
2000-03-06,96.00,97.375,90.125,90.625,93609400,31.611548
2000-03-07,96.125,97.50,91.9375,92.875,135061000,32.396386
2000-03-08,93.8125,96.1875,91.00,95.5625,94290000,33.333832
2000-03-09,95.3125,100.00,95.00,100.00,88198800,34.881708
2000-03-10,99.5625,102.50,99.50,101.00,85589000,35.230525
2000-03-13,97.625,100.25,97.50,98.00,61831800,34.184074
2000-03-14,98.625,99.25,95.125,95.125,73489200,33.181225
2000-03-15,94.5625,96.625,93.6875,95.375,53208000,33.268429
2000-03-16,95.9375,96.6875,93.25,95.375,77300800,33.268429
2000-03-17,95.25,99.50,94.50,99.375,81161600,34.663697
2000-03-20,98.75,99.75,96.50,97.375,47773000,33.966063
2000-03-21,96.75,103.125,96.50,102.75,81648800,35.840955
2000-03-22,102.8125,105.625,101.125,103.25,93975800,36.015364
2000-03-23,106.8125,112.875,106.625,111.875,148224000,39.023911
2000-03-24,112.625,115.00,109.5625,111.6875,112196800,38.958508
2000-03-27,107.765617,108.25,103.9375,104.0625,111434000,36.298777
2000-03-28,103.625,107.4375,102.375,104.3125,81114400,36.385982
2000-03-29,105.1875,108.9375,105.125,107.1875,64363800,37.388831
2000-03-30,106.1875,108.625,102.50,103.375,64178400,36.058966
2000-03-31,106.00,108.25,104.125,106.25,64281400,37.061815
2000-04-03,94.4375,96.50,90.00,90.875,260118200,31.698752
2000-04-04,91.5625,92.00,84.9375,88.5625,181244400,30.892113
2000-04-05,88.25,88.50,85.875,86.375,82887600,30.129075
2000-04-06,87.875,88.00,85.265617,86.00,66421400,29.998269
2000-04-07,87.00,89.375,85.00,89.0625,82613600,31.066521
2000-04-10,88.625,88.625,86.00,86.0625,60685400,30.02007
2000-04-11,85.125,86.0625,83.50,83.875,71961800,29.257033
2000-04-12,82.125,82.25,78.75,79.375,153003800,27.687356
2000-04-13,80.875,82.25,79.00,79.25,94316200,27.643754
2000-04-14,79.125,79.50,73.25,74.125,151217800,25.856066
2000-04-17,74.25,76.00,73.00,75.875,119772200,26.466496
2000-04-18,76.50,81.9375,75.875,80.5625,91794600,28.101576
2000-04-19,81.4375,81.50,78.125,78.6875,53715400,27.447544
2000-04-20,78.625,79.875,77.50,78.9375,52387400,27.534748
2000-04-24,67.25,68.00,65.00,66.625,313645800,23.239938
2000-04-25,68.75,69.50,67.625,69.375,159517400,24.199185
2000-04-26,70.00,71.125,67.375,68.00,107091200,23.719561
2000-04-27,67.4375,69.9375,67.375,69.8125,77669800,24.351792
2000-04-28,70.75,71.00,68.25,69.75,78082600,24.329991
2000-05-01,72.875,74.00,71.6875,73.4375,107811000,25.616254
2000-05-02,72.8125,73.50,69.50,69.875,97716200,24.373593
2000-05-03,70.375,70.8125,68.8125,70.5625,55354800,24.613405
2000-05-04,70.3125,71.25,69.3125,70.4375,43317200,24.569803
2000-05-05,70.25,71.8125,69.875,71.125,36402200,24.809615
2000-05-08,70.9375,71.375,69.6875,69.8125,36187600,24.351792
2000-05-09,70.1875,70.4375,67.50,67.8125,60778400,23.654158
2000-05-10,67.75,67.875,65.75,66.1875,67740000,23.08733
2000-05-11,66.625,68.125,65.75,67.875,58390800,23.675959
2000-05-12,68.4375,69.75,68.25,68.8125,37886000,24.002975
2000-05-15,69.00,69.4375,68.00,69.375,33899600,24.199185
2000-05-16,69.5625,70.625,69.0625,69.50,48410600,24.242787
2000-05-17,68.875,69.125,67.25,67.6875,53242000,23.610556
2000-05-18,68.0625,68.0625,65.875,66.1875,53640400,23.08733
2000-05-19,65.375,65.9375,64.50,65.0625,66578000,22.694911
2000-05-22,65.125,65.25,62.4375,64.1875,69955000,22.389696
2000-05-23,63.875,65.5625,63.0625,63.1875,57963200,22.040879
2000-05-24,63.125,66.5625,63.00,65.5625,85482400,22.86932
2000-05-25,64.5625,64.75,61.125,61.50,94348800,21.45225
2000-05-26,62.0625,62.625,60.375,61.4375,55822000,21.430449
2000-05-30,62.4375,64.125,62.00,63.375,68536400,22.106282
2000-05-31,63.640621,63.703121,62.0625,62.5625,54968200,21.822869
2000-06-01,64.375,66.00,63.8125,64.5625,94507200,22.520503
2000-06-02,66.00,66.75,65.00,66.3125,80463200,23.130933
2000-06-05,66.015617,68.375,66.00,66.875,64400000,23.327142
2000-06-06,68.1875,69.875,67.8125,69.625,99019000,24.286389
2000-06-07,69.25,70.75,67.125,70.50,76310600,24.591604
2000-06-08,71.5625,72.125,68.25,68.8125,94765600,24.002975
2000-06-09,69.625,69.6875,68.3125,68.8125,35710200,24.002975
2000-06-12,69.00,69.00,66.375,66.875,49260600,23.327142
2000-06-13,66.75,68.00,66.125,67.875,44289200,23.675959
2000-06-14,69.8125,71.00,69.50,70.50,79992400,24.591604
2000-06-15,70.8125,72.6875,70.625,72.375,65592600,25.245636
2000-06-16,72.625,73.125,71.50,72.5625,68710600,25.311039
2000-06-19,72.5625,73.8125,72.00,73.6875,46604800,25.703459
2000-06-20,73.875,75.25,73.75,74.9375,62275000,26.13948
2000-06-21,77.00,82.1875,76.9375,80.6875,160399600,28.145178
2000-06-22,81.375,82.00,79.3125,79.875,87315200,27.861764
2000-06-23,79.9375,80.0625,77.00,77.6875,49811600,27.098727
2000-06-26,77.50,80.125,77.50,79.50,48287000,27.730958
2000-06-27,79.25,80.125,78.375,78.8125,31071200,27.491146
